Vehicle ID,Repair Date,Repair Description,Cost,Parts Replaced,Repair Shop,Mechanic,Warranty Expiry
75da68e6-0323-4191-b8c6-6e318db19bfa,2025-05-22,Tire Replacement,4995.79,Alternator,"Andrews, Paul and Brooks",Gina Mills,2025-06-20
8451ff07-6926-4890-bab9-57ad2a4e3622,2025-06-24,Brake Service,3703.69,Radiator,Brown-Hamilton,Rita Yates,2025-01-07
80915c33-e5d8-4b77-aa5b-6cec256a449a,2025-03-04,Clutch Replacement,578.94,Radiator,Morales-Adams,William Bryant,2025-07-09
8e9b04c6-4f01-4cf4-a34c-8226555947e1,2025-04-20,Tire Replacement,3442.67,Radiator,Williams-Patterson,Brandon Robertson,2025-07-10
f94859bc-dce8-4a8f-8464-5422f7e796dc,2025-06-26,Engine Repair,4967.04,Shock Absorbers,Ward-Stevens,Megan Murray,2025-06-13
dbd50968-21f8-48d9-a11c-fb6fe5e8d697,2025-05-28,AC Repair,1055.71,Brake Pads,Baker LLC,Blake Green,2025-05-17
5a33cd39-7075-4757-87b0-99b931a63c43,2025-05-09,Fuel System Repair,2479.76,Radiator,Decker-Hart,Amanda Wade,2025-05-08
6a67d7a5-a534-4adf-b9c6-6a5b1dcfdddf,2025-04-29,Fuel System Repair,2124.06,Shock Absorbers,Donaldson-Lambert,Anthony Manning,2025-03-07
f67584a7-e543-4a1c-8600-5350fac4e740,2025-02-24,Fuel System Repair,337.05,Timing Belt,"Jackson, Tucker and Pratt",Monique Miller,2025-02-07
f3178944-39bf-42e4-bf88-7a58f6ca26db,2025-04-22,Fuel System Repair,3146.36,Timing Belt,"Figueroa, Moore and Orr",Neil Cooper,2025-06-04
6af9a4d3-45df-4e94-ac55-5e1e8082ff9a,2025-03-09,Fuel System Repair,2728.05,Alternator,Morse and Sons,Julie Gray,2025-02-22
24df4a20-8171-4115-96c1-ba157e595502,2025-04-03,Fuel System Repair,4164.22,Timing Belt,Campbell-Weber,Travis White,2025-05-10
3ea42a77-2241-4d48-9975-6380e7affd60,2025-05-11,Battery Replacement,4861.69,Shock Absorbers,Schultz Inc,Jason Williams,2025-05-17
49427ec4-10c8-4ebb-915a-2251f9a61708,2025-02-05,Transmission Repair,3781.12,Exhaust System,Lucas-Mercer,Benjamin Lewis,2025-04-06
6eaa062f-e045-4633-aa0a-f64f9932e2b7,2025-03-01,Clutch Replacement,4832.81,Exhaust System,Swanson PLC,Anthony Ramirez,2025-01-15
534366ca-d23a-46ed-a4cf-cc7522da18e1,2025-04-20,Clutch Replacement,2007.79,Shock Absorbers,"Garner, Richardson and Alvarado",Trevor Vargas,2025-05-20
7e9d8ccc-f5cc-445c-a7da-addcfa6fb56f,2025-06-04,AC Repair,2556.66,Shock Absorbers,"Bradley, Lambert and Wise",Nicholas Reilly,2025-01-17
6c6c915b-54e4-4069-9fcc-0cf7d18bd225,2025-05-06,Brake Service,3595.97,Shock Absorbers,Miller Group,Michael Hernandez,2025-03-05
a687f2e1-13b7-4cf3-9b9d-0556df633284,2025-02-02,Battery Replacement,783.8,Brake Pads,Mueller-Nielsen,Laura Zuniga,2025-04-03
32418a34-52f2-42dc-ae2e-6cae88a4d18b,2025-03-04,Transmission Repair,4456.81,Brake Pads,"Day, Alvarado and Vasquez",Meghan Russell,2025-03-20
53af274d-a48e-4552-8518-0344897229cd,2025-03-31,Transmission Repair,1247.57,Alternator,Patrick Group,Holly Lewis,2025-07-02
85c678bb-d33e-42d6-8498-34d398f36083,2025-07-07,Fuel System Repair,655.56,Radiator,Torres-Smith,Sara Torres,2025-02-11
f1ce71b2-6edc-4c8e-a983-8e87a8e78cb4,2025-02-28,Brake Service,840.81,Radiator,Owens LLC,David Clark,2025-01-07
295a5fcb-d99e-433c-b4a8-3cc1453b4411,2025-01-07,Brake Service,4703.22,Timing Belt,"Osborne, Anderson and Hudson",Bryan Malone,2025-04-08
cc657f55-4012-42e3-8ddd-40df1e5244b8,2025-01-07,Fuel System Repair,2808.01,Brake Pads,"Baker, Logan and Estes",Johnathan Stewart,2025-05-22
0723e655-81ac-49d1-81f8-4850f927b4d3,2025-03-02,AC Repair,646.77,Radiator,George Inc,Krystal Wise,2025-03-21
964400f8-3555-4052-8126-7b7a3c3c6281,2025-05-07,Suspension Repair,2785.8,Alternator,"Allen, Green and Wilson",Karla Hess,2025-03-25
7c3354fb-6d1a-4610-9a15-ff9a752b3433,2025-06-06,Engine Repair,3247.79,Shock Absorbers,Smith-Bush,Julie King,2025-01-09
1f8ee319-11d5-4b04-81cb-ad00182d7473,2025-03-06,Engine Repair,2758.73,Alternator,Mendoza-Pham,Tyler Perry,2025-01-14
43c34fa6-fc4e-4e69-a5a1-28c08ab425ae,2025-03-12,Fuel System Repair,2592.11,Shock Absorbers,Mccormick LLC,Elizabeth Horton,2025-03-22
dcd7af38-8d73-4d11-929f-0e8436918520,2025-03-24,Brake Service,2975.63,Exhaust System,"Perry, Waters and Beard",Donna Bates,2025-05-18
764419ab-1a9d-440a-99d9-212f2e59f413,2025-05-16,Transmission Repair,792.91,Timing Belt,Everett Group,Andrea Johnson,2025-02-22
fc14ca58-d044-4efe-87c2-f93a051ed55a,2025-05-12,AC Repair,474.0,Brake Pads,Caldwell-Leach,Angela Richmond,2025-07-03
15a3bb91-e0b1-4afe-8bd9-b7c68cfe4c9a,2025-05-12,Fuel System Repair,4537.38,Brake Pads,"Smith, Durham and Miller",Mr. Brandon Smith DVM,2025-03-12
6407b83c-fb9f-4e0f-9a88-4ff85e6756b4,2025-05-22,AC Repair,4556.39,Shock Absorbers,"Trujillo, Knapp and Baker",Kimberly Wilkinson,2025-01-18
eeeca1bd-1002-4fe8-b6a5-68675315361c,2025-06-13,Brake Service,1472.56,Shock Absorbers,Roberts-Dawson,Jacob Stevens,2025-07-02
625f4f71-6975-4fed-8fe4-3fbf1b495323,2025-01-22,AC Repair,1857.79,Exhaust System,"Perez, Baldwin and Stuart",Joseph Lester,2025-04-18
8fde68ad-ff3d-4744-8961-d6cd065230ef,2025-01-31,Engine Repair,3542.92,Exhaust System,Soto Inc,Dennis Martin,2025-05-07
7cec7171-9605-4b44-99a9-f0aeca6b5c8c,2025-07-09,Tire Replacement,343.15,Brake Pads,"Moody, Hammond and Rivers",Nicholas Hansen,2025-01-16
e224bcac-c8ff-4320-8102-ed536cf0c730,2025-07-01,Tire Replacement,2619.54,Exhaust System,"Guerrero, Green and Hamilton",Mary Leonard,2025-05-15
4b9e885b-31d4-4bcb-a1bc-41fb17c18ca8,2025-01-12,Suspension Repair,3675.97,Alternator,Brown-Christensen,Matthew Stewart,2025-04-08
ba50b5c4-a5cb-4989-b51e-052ab96eeb7f,2025-07-02,Tire Replacement,2180.25,Brake Pads,"Hill, Higgins and Bryan",Michael Wade MD,2025-03-16
6dadea16-c80f-4a74-9c2f-b5a38e09942c,2025-01-25,AC Repair,876.56,Alternator,Lewis-Humphrey,Jennifer Dennis,2025-06-18
7f48572f-7443-4f91-b832-44b8491b059e,2025-07-09,AC Repair,2376.72,Radiator,"Jackson, Green and Nguyen",Joshua Simpson,2025-07-05
15cbfb22-b270-4723-982c-490d7329eeb8,2025-05-07,Tire Replacement,2888.54,Radiator,Bell Group,Charles Robinson,2025-03-05
3ebc37e8-25a5-4136-aa39-8b84e263f1ff,2025-06-17,Transmission Repair,4842.86,Brake Pads,Padilla-Wood,Joseph Ross,2025-06-12
57da3923-9dcb-4dc3-a494-2b7bee8cb8a6,2025-06-12,Battery Replacement,4125.23,Brake Pads,"Molina, Young and Phillips",Laura Hunter,2025-03-28
e5ee49b9-b9c7-4c11-9c4e-41849433d0d2,2025-04-16,Suspension Repair,929.18,Timing Belt,Morrison and Sons,Jessica Cooper,2025-05-06
5aa3cf72-ce94-4bb5-a72a-a0d8bc970a83,2025-01-05,Engine Repair,4099.28,Timing Belt,Rowe Ltd,Joanna Villarreal,2025-06-20
9a77e45a-e535-43a6-960a-0b0dbe27f2fc,2025-01-15,Clutch Replacement,385.74,Alternator,David-White,Jennifer Watkins,2025-07-07
2852d963-07aa-4b6a-a497-ff57f1e39aba,2025-05-13,Battery Replacement,4976.4,Radiator,Evans Group,Gabriel Hines,2025-03-23
6d3e1412-fba6-4df9-a876-397c6d5cea82,2025-02-01,AC Repair,523.75,Exhaust System,"Grant, Macias and Frost",Amy Jones,2025-02-04
8b4d87cc-959c-4116-aa6f-99bf739f1ea1,2025-01-10,Brake Service,4005.09,Radiator,"Sherman, Raymond and York",Michael Poole,2025-04-24
1f232e72-8330-4a38-9d1e-aaaea607b5a3,2025-04-21,AC Repair,4632.24,Shock Absorbers,Gregory-Jensen,Claudia Dominguez,2025-06-19
40d79c36-c4fa-4803-871e-6dd0eb614cdf,2025-07-09,Clutch Replacement,3748.56,Brake Pads,Berry Ltd,Brianna Avila,2025-07-03
8fdb45d5-e0a1-4e10-a2d5-e460b3ae054b,2025-06-08,Brake Service,4836.61,Exhaust System,Rivera-Nelson,Peter Montgomery,2025-03-22
e56f5d8d-3cd5-47e4-9e50-45da0e1996f4,2025-06-22,Transmission Repair,3630.22,Alternator,"Nelson, Meyer and Mendoza",Dennis Smith,2025-06-23
a496427d-0987-4d38-9230-2bba83e0e6ff,2025-02-26,Tire Replacement,1533.2,Exhaust System,Ray Group,Laura Pierce,2025-01-08
8eb33053-edf3-4ec3-9fa4-7d526117c7db,2025-04-28,Clutch Replacement,1433.45,Shock Absorbers,Bond-Herrera,Cheryl Davis,2025-06-01
ec303259-df92-42f6-bf32-b857ad9817c2,2025-06-28,Battery Replacement,1385.12,Timing Belt,Gomez Group,Gail Johnson,2025-06-23
611aa740-cf24-44bd-a87e-902329fb6e71,2025-06-23,Tire Replacement,2751.14,Radiator,Watkins-Parsons,Kelly Johnson,2025-05-07
b2ec4c2a-ef14-4b99-85eb-4e3bbb7f0ecb,2025-03-24,Fuel System Repair,4955.14,Alternator,"Berry, Townsend and Miller",Gina Edwards,2025-03-20
b99e1f7f-1d29-4300-bd10-01b91df8f68c,2025-03-28,Transmission Repair,2883.62,Radiator,Baker Inc,David Serrano,2025-06-26
c245bd84-0936-443c-becf-1af4942062dd,2025-04-06,Battery Replacement,1102.54,Brake Pads,"Porter, Peters and Walls",Jordan Lewis,2025-02-05
9cf5aed4-5959-4ad6-a274-2ef10f7bee17,2025-06-01,Brake Service,4513.6,Brake Pads,"Jacobs, Garcia and Hines",Gabriel Parker,2025-05-15
94d47e6c-0449-4d3d-9845-dc4a7b6b55ee,2025-05-01,Suspension Repair,2778.81,Exhaust System,Baker-Taylor,Ashley Green,2025-03-30
0fe67d1a-af74-4438-a689-e18a14fdd417,2025-04-10,Fuel System Repair,366.1,Alternator,Duran-Lopez,Nicole Miller,2025-06-28
cff0c33e-8cf4-4e65-801c-5e7cbdc08f81,2025-06-20,Clutch Replacement,963.98,Timing Belt,"Grant, Welch and Torres",Sabrina Jenkins,2025-07-05
d87f3b7b-4d57-431f-bb6c-81033d85f299,2025-01-12,Brake Service,4385.77,Exhaust System,Wilson Group,Andrew Weber,2025-05-09
c8aad197-21de-4558-a829-45b816ec42c2,2025-06-29,Tire Replacement,148.96,Alternator,Morris-Jenkins,Ross Smith,2025-03-12
906cecba-0fe1-4345-8035-d5456809ec49,2025-06-24,Clutch Replacement,2200.25,Alternator,Garza-Butler,Thomas Cruz,2025-02-26
29da792e-2c04-465f-ab15-c750b6fedbca,2025-03-06,Tire Replacement,521.66,Exhaust System,Cisneros and Sons,Tina Campbell,2025-05-25
d069252a-cd6c-4ee9-8ad7-f305c0a27116,2025-03-14,Clutch Replacement,695.6,Exhaust System,"Haley, Martin and Jones",William Williams,2025-05-30
e1b1fa94-fa2d-4a53-b8fa-beb699cf4fbb,2025-03-09,Transmission Repair,2742.52,Alternator,Reed-Hernandez,Justin Benitez,2025-03-17
4cd49a36-dea5-4f05-8941-526b78b021d5,2025-03-18,Engine Repair,1182.45,Radiator,"Gutierrez, Burke and Jones",Steven Pacheco,2025-02-17
dc19f38d-1681-477d-ba87-9eebe5ba6575,2025-04-09,Engine Repair,2790.92,Brake Pads,Sawyer-Porter,Yvonne Williams,2025-02-16
55b80ea2-0655-4965-af84-1fdc4d2785f7,2025-06-23,Transmission Repair,2219.05,Radiator,Morales-Goodwin,Tim Lewis,2025-02-28
8a5f753e-3433-4636-be40-240dc88c1430,2025-06-22,Suspension Repair,1747.61,Radiator,Carpenter-Callahan,Tina Dunn,2025-06-28
b6b03a9e-9953-4fa4-8bca-b7f964b25f87,2025-05-07,Battery Replacement,2543.65,Brake Pads,Cook-Mercer,Jamie Ramirez,2025-02-02
2e876a8f-7266-498d-9dcc-68318e21965b,2025-02-07,Clutch Replacement,740.6,Brake Pads,Day LLC,Ryan Lewis,2025-04-24
f9050029-dfbf-496d-8cf3-fe595a5b251c,2025-01-12,Suspension Repair,137.2,Radiator,Norman-Atkinson,Mary Burch,2025-04-07
71b95af1-0c50-41ed-94e2-15efead9ce4b,2025-05-10,Fuel System Repair,4632.38,Timing Belt,Shelton LLC,Heather Parker,2025-03-24
79aa9b80-9741-4472-9105-cd4c5113091e,2025-05-08,Brake Service,610.94,Alternator,House-Rivas,Heather Cabrera,2025-06-06
3694ddc2-9bf8-437a-9807-ac53d2c289df,2025-01-21,Brake Service,648.05,Brake Pads,Hawkins-Anderson,Annette Martin,2025-02-08
2bc4686d-9d2a-44e4-9af6-2b03c32c3064,2025-05-10,AC Repair,2241.28,Radiator,"Schneider, Jacobson and Dean",Brian Miller,2025-06-29
ec23893c-0432-4bb2-86e3-2c0da6211fb7,2025-01-08,Clutch Replacement,4944.23,Radiator,Cook LLC,Dennis Mejia,2025-06-04
3742d8d3-754f-4c76-b5ad-4b46a17eea43,2025-03-26,Transmission Repair,300.75,Alternator,Harrison and Sons,Charles Tran,2025-05-08
157c514c-d7a1-420d-83c1-95f1632c6201,2025-02-02,Battery Replacement,3372.49,Brake Pads,Harvey PLC,Timothy Lucero,2025-03-12
82acaea5-e731-4e03-a7b6-0d6846bd882d,2025-01-27,Fuel System Repair,492.9,Radiator,"Cannon, Mckenzie and Mccarty",John Graham,2025-05-28
71d5bfc9-3c68-4e70-bc8c-d08112e9b886,2025-05-01,Clutch Replacement,4146.61,Radiator,"Martinez, Holland and Maynard",Elizabeth Ward,2025-03-23
5121d644-999f-4849-b906-61a12ef2e959,2025-03-09,Battery Replacement,3032.58,Brake Pads,Mccoy-Bautista,James Harrison,2025-02-16
0f0579be-baaf-4812-a35c-bb0ed89ffa2c,2025-03-24,Brake Service,3946.54,Alternator,Shah-Morse,Peter Thomas,2025-06-22
af5a7c84-c0d7-4399-ad2a-3ff81f8aea98,2025-03-09,Engine Repair,3312.09,Brake Pads,Guerra Inc,Jeffrey Adams,2025-01-31
9c1e6be5-b2c3-42da-b29c-497cb9f69e7a,2025-05-03,Battery Replacement,1075.1,Exhaust System,Martin and Sons,Linda Fisher,2025-06-20
98997e34-4862-4546-bd20-d61a07c9e61a,2025-03-23,Battery Replacement,3814.76,Alternator,"Erickson, English and Blair",Ashley Peterson,2025-02-25
d816fca2-7329-4a45-a63e-2d26945c43d0,2025-02-10,Suspension Repair,4081.11,Brake Pads,Callahan and Sons,James Brown,2025-03-10
58211b92-92c3-482e-aca7-434f692b9166,2025-04-30,Clutch Replacement,2525.24,Radiator,Osborne-Rodriguez,Heather Reyes,2025-06-13
a5f7f887-afe9-4ccf-a647-c8e427f5cab1,2025-02-13,Fuel System Repair,3445.44,Shock Absorbers,Cooper-Ramirez,Jacqueline Waters,2025-01-23
f6fddc35-1c75-4aa6-a159-068df4c812a5,2025-02-12,Suspension Repair,2314.59,Timing Belt,Anderson and Sons,Monica Hernandez,2025-07-07
b0bfe7c2-0b19-4915-82b6-0aee6529965c,2025-03-24,Suspension Repair,1433.31,Exhaust System,Brooks Inc,Kevin Peterson,2025-05-17
3d72bb1a-7c1a-4c09-907c-6005f5ac9454,2025-02-04,Tire Replacement,1975.88,Alternator,Parker-Larsen,Karen Fitzgerald,2025-04-20
d2fcba81-5660-499a-a994-13b2deb7ea32,2025-01-04,Transmission Repair,1754.93,Shock Absorbers,"Porter, Brown and Parks",Spencer Cunningham,2025-03-12
2a12bb19-6515-4141-aced-8a9e3b27138a,2025-05-16,Transmission Repair,1610.22,Exhaust System,Barber-Rodriguez,Robyn Smith,2025-02-28
b66ce6c2-2389-4868-a908-c80b4c427528,2025-03-11,Battery Replacement,1270.17,Alternator,Church Inc,Amy Ponce,2025-01-21
4cc394f1-0b64-42f0-a466-f938fb39e735,2025-07-06,Clutch Replacement,2127.72,Shock Absorbers,Leblanc Ltd,Joshua Diaz DDS,2025-07-05
33bdb24b-6762-4b3c-99f8-ba0b7e3cf2bb,2025-03-22,Battery Replacement,4100.95,Alternator,"Wilson, James and Rodriguez",Robert Hunter,2025-04-17
0c292ff1-cd4e-4b9e-8916-17c64d1f3f98,2025-04-07,Fuel System Repair,2197.25,Timing Belt,"Richards, Hall and Ford",Russell Beard,2025-07-01
3c07f41f-aeb9-405a-b916-5e5f7710fc8c,2025-03-21,Suspension Repair,974.14,Brake Pads,Zamora-Bell,Julia Small,2025-05-23
4b5cbb9b-fcb9-44a7-aae0-564f9351ba76,2025-04-07,Clutch Replacement,4326.48,Brake Pads,"Porter, Rodriguez and Stokes",Jessica Smith,2025-03-07
d23fb1d8-2542-4178-8939-8f373d3f28a7,2025-01-27,Tire Replacement,3272.04,Alternator,"Francis, Harris and Buck",Rebecca Harvey,2025-02-27
50b1e9e6-3f70-4955-bbad-f1f1528276cf,2025-05-21,Transmission Repair,3103.51,Timing Belt,Dixon-Gonzalez,Samuel Chandler,2025-01-31
5098c0f4-d13a-4141-a591-532b1fd6d770,2025-06-13,Suspension Repair,1773.07,Exhaust System,"Brown, Flores and Jones",John Miller,2025-03-13
eb3568de-d099-4bda-8ed7-6084d841c9b2,2025-03-12,Suspension Repair,2925.52,Brake Pads,"Gomez, Thompson and Baker",Michael Kennedy,2025-03-09
554c2130-81f7-425a-852f-6b90410cd105,2025-05-26,Transmission Repair,871.42,Shock Absorbers,Edwards-Allen,Dorothy Welch,2025-01-07
9572d3f5-ef4f-4fd5-8ac9-99d2022337e8,2025-04-18,Engine Repair,517.95,Radiator,Morrison-Alvarez,Melanie Hayes,2025-02-08
5c7d7128-8ece-43df-a108-a6c1978767ce,2025-06-13,Engine Repair,2426.75,Brake Pads,"Santos, Walker and Young",Paul Wood,2025-06-27
06e9cd1f-4c72-4c36-9802-baac5b6ee48b,2025-01-13,Brake Service,3875.75,Brake Pads,"Page, Webb and Mcgee",Heather Strong,2025-02-15
63d3f17e-98e6-44d9-ba01-9a27ba5b1d8d,2025-07-02,Clutch Replacement,4399.94,Alternator,"Powell, Franklin and Brewer",Justin Walton,2025-05-14
7d406616-e8c6-48eb-87ec-dd56e20b87a0,2025-07-03,Suspension Repair,4017.17,Brake Pads,"Lopez, Werner and Nichols",Jamie Harris,2025-01-15
573733ad-0be4-4c44-801b-9841740193d0,2025-07-05,Brake Service,3454.54,Radiator,"Cantrell, Oliver and Cooper",Dana White,2025-06-17
41f826ed-e4a2-4bb9-b1b5-089b5ef26fb9,2025-05-23,Suspension Repair,1981.78,Shock Absorbers,Hill Group,Joseph Brown,2025-03-17
c6d1173b-883e-46cb-a8ab-27b5c5a5cbdf,2025-02-05,Transmission Repair,2532.56,Alternator,Carrillo-Murphy,Robin Baker,2025-06-18
4f1b43bc-9364-466e-ad7a-6b3c62dd03d5,2025-07-10,Battery Replacement,3446.67,Radiator,Diaz LLC,Nancy Alvarez,2025-05-07
f50ee9f9-ec4c-4978-8a62-d83b74c03193,2025-03-08,AC Repair,4302.21,Timing Belt,"Spears, Hernandez and Ross",Jared Cox,2025-05-18
d0be6baa-4bd1-4d06-ac2c-39533e50e173,2025-03-23,Tire Replacement,3401.22,Alternator,"Webb, Kelley and Schmitt",Nicholas Harrington,2025-01-03
06f88a55-4c9c-4a6b-9013-89dabe22faea,2025-05-10,Clutch Replacement,623.15,Brake Pads,Davis-Bruce,Kimberly Roberts,2025-04-22
e65e7bf9-b459-4fba-8365-3f31887c61c0,2025-02-03,AC Repair,616.74,Shock Absorbers,"Scott, Johnson and Smith",Michael Mason,2025-05-25
532d287a-341f-4f5a-b7e4-5a1e86a3c40c,2025-01-31,Transmission Repair,2164.35,Brake Pads,Maxwell-Green,Norma Reed,2025-06-17
c2812658-cae1-4313-a149-94fe02b94486,2025-01-01,AC Repair,2657.73,Shock Absorbers,Williams Inc,Kristina Bond,2025-04-17
e60ed0eb-71d9-4d6f-a46f-61f44571212f,2025-04-29,Fuel System Repair,4393.98,Alternator,Roman-Rasmussen,Lisa Myers,2025-04-22
4b7fed07-fe0b-4d53-aa33-f140d3ba9cb5,2025-06-04,Engine Repair,2926.24,Radiator,"Young, Romero and Kennedy",Amy Tapia,2025-03-03
96103078-1a4a-4634-9690-d9bf657e933b,2025-04-22,Suspension Repair,653.56,Radiator,Johnson-Nelson,Tiffany Hebert,2025-05-28
e2133f8d-b4ab-4d8f-a32f-d7d462856e29,2025-01-18,Brake Service,2655.72,Timing Belt,Huff and Sons,Stephanie Newton,2025-07-09
57ae2f11-aaa0-445c-8492-1180f36a8ecc,2025-02-08,AC Repair,3570.09,Brake Pads,Morrison-Vaughn,Leah Malone,2025-01-24
6da2c741-632c-4122-bb05-66a96eff69b4,2025-05-21,Suspension Repair,339.02,Timing Belt,Mcdonald-Green,Clarence Rice,2025-02-09
2750fd75-9997-4769-bfea-c9cd215cc128,2025-06-07,Engine Repair,4824.15,Shock Absorbers,Thompson-Walker,Ryan Glover,2025-05-30
0cdbd649-dcdb-4fb5-9a84-54b29449149d,2025-05-02,Fuel System Repair,1710.14,Shock Absorbers,"Barnes, Walker and Stewart",Kevin Fitzgerald,2025-03-20
54f898c8-d2eb-4191-bf00-d1d75cd8f306,2025-06-08,Battery Replacement,3098.2,Timing Belt,"Small, Brooks and Adkins",Kelly Phillips,2025-05-25
7b94421d-8d28-4c97-af40-a3d75e40a35e,2025-06-17,Clutch Replacement,4503.28,Shock Absorbers,Lin Inc,Laura Nelson,2025-01-13
40094561-9135-47d3-bb85-e8f6c08168cc,2025-06-17,Battery Replacement,1690.36,Alternator,Obrien Group,Joseph Garza,2025-06-30
0e2c40ca-d434-4a93-a96f-93225a3c40b9,2025-06-23,Transmission Repair,3132.33,Radiator,Long-Byrd,Rodney Dalton,2025-06-02
9e958334-ce77-40f3-8e73-c0d8f65f735d,2025-01-31,Transmission Repair,130.56,Timing Belt,Young-Brown,Amanda Carney,2025-03-16
c895a66f-d78b-444c-b48d-20bf46de0716,2025-04-26,Engine Repair,4416.98,Exhaust System,Lewis Inc,David Terrell,2025-06-18
219dc046-0824-4a91-b002-b6d8f10009a1,2025-05-26,Battery Replacement,1882.04,Alternator,"Kerr, Anderson and Miranda",Vanessa Le,2025-04-27
739f4b23-282a-43fd-bc0a-c41d89d0a5fb,2025-01-10,Engine Repair,3036.45,Alternator,"Moyer, Alvarez and Logan",Jennifer Fernandez,2025-03-28
409b4045-faf3-4d30-9367-49eaa913d523,2025-07-01,Suspension Repair,2307.1,Brake Pads,Brock LLC,Tracy Pierce,2025-02-19
3791e3ad-2433-414b-a551-fca98a3f6c04,2025-01-20,Tire Replacement,3011.73,Alternator,"Gardner, Watkins and Gallegos",Ashley Wood,2025-07-10
011ad68f-46eb-4293-9acd-dfb945095b6a,2025-06-11,Fuel System Repair,2593.26,Radiator,"Lang, Clark and Williams",Kevin Pierce,2025-03-09
72dd093c-5693-4a4e-b2db-e61b33087535,2025-05-06,Engine Repair,4189.58,Timing Belt,Watkins-Sanchez,James Delgado,2025-05-25
